
p is initialized as 0.5

It.      Pn-1           Pn        f(Pn)     Absolute Error
 92   1.85626674   1.85495603   -0.01542473   0.00131071
 93   1.85495603   1.85616398    0.01423645   0.00120795
 94   1.85616398   1.85505056   -0.01310539   0.00111341
 95   1.85505056   1.85607684    0.01209354   0.00102627
 96   1.85607684   1.85513091   -0.01113510   0.00094593
 97   1.85513091   1.85600281    0.01027584   0.00087190
 98   1.85600281   1.85519910   -0.00946236   0.00080371
 99   1.85519910   1.85593987    0.00872898   0.00074077
100   1.85593987   1.85525715   -0.00803661   0.00068271
101   1.85525715   1.85588634    0.00741291   0.00062919
102   1.85588634   1.85530639   -0.00682831   0.00057995
103   1.85530639   1.85584092    0.00629711   0.00053453
104   1.85584092   1.85534823   -0.00580215   0.00049269
105   1.85534823   1.85580230    0.00534821   0.00045407
106   1.85580230   1.85538387   -0.00492668   0.00041842
107   1.85538387   1.85576952    0.00454426   0.00038564
108   1.85576952   1.85541403   -0.00418758   0.00035548
109   1.85541403   1.85574174    0.00386047   0.00032771
110   1.85574174   1.85543966   -0.00355721   0.00030208
111   1.85543966   1.85571814    0.00328064   0.00027847
112   1.85571814   1.85546148   -0.00302029   0.00025666
113   1.85546148   1.85569799    0.00278664   0.00023651
114   1.85569799   1.85547996   -0.00256824   0.00021803
115   1.85547996   1.85568094    0.00236702   0.00020099
116   1.85568094   1.85549569   -0.00218201   0.00018525
117   1.85549569   1.85566640    0.00201130   0.00017071
118   1.85566640   1.85550904   -0.00185394   0.00015736
119   1.85550904   1.85565412    0.00170898   0.00014508
120   1.85565412   1.85552037   -0.00157642   0.00013375
121   1.85552037   1.85564363    0.00145149   0.00012326
122   1.85564363   1.85553002   -0.00133801   0.00011361
123   1.85553002   1.85563481    0.00123501   0.00010478
124   1.85563481   1.85553825   -0.00113583   0.00009656
125   1.85553825   1.85562718    0.00104713   0.00008893
126   1.85562718   1.85554516   -0.00096703   0.00008202
127   1.85554516   1.85562074    0.00088978   0.00007558
128   1.85562074   1.85555112   -0.00082016   0.00006962
129   1.85555112   1.85561538    0.00075722   0.00006425
130   1.85561538   1.85555613   -0.00069809   0.00005925
131   1.85555613   1.85561073    0.00064373   0.00005460
132   1.85561073   1.85556042   -0.00059128   0.00005031
133   1.85556042   1.85560668    0.00054359   0.00004625
134   1.85560668   1.85556412   -0.00050163   0.00004256
135   1.85556412   1.85560334    0.00046253   0.00003922
136   1.85560334   1.85556722   -0.00042439   0.00003612
137   1.85556722   1.85560036    0.00038910   0.00003314
138   1.85560036   1.85556996   -0.00035858   0.00003040
139   1.85556996   1.85559797    0.00032997   0.00002801
140   1.85559797   1.85557222   -0.00030136   0.00002575
141   1.85557222   1.85559583    0.00027752   0.00002360
142   1.85559583   1.85557413   -0.00025558   0.00002170
143   1.85557413   1.85559416    0.00023651   0.00002003
144   1.85559416   1.85557568   -0.00021744   0.00001848
145   1.85557568   1.85559273    0.00020218   0.00001705
146   1.85559273   1.85557699   -0.00018501   0.00001574
147   1.85557699   1.85559154    0.00017166   0.00001454
148   1.85559154   1.85557818   -0.00015640   0.00001335
149   1.85557818   1.85559034    0.00014305   0.00001216
150   1.85559034   1.85557926   -0.00012970   0.00001109
151   1.85557926   1.85558939    0.00012016   0.00001013
152   1.85558939   1.85558009   -0.00010967   0.00000930
153   1.85558009   1.85558867    0.00010204   0.00000858
154   1.85558867   1.85558081   -0.00009155   0.00000787
155   1.85558081   1.85558796    0.00008488   0.00000715
156   1.85558796   1.85558128   -0.00007915   0.00000668
157   1.85558128   1.85558748    0.00007248   0.00000620
158   1.85558748   1.85558176   -0.00006866   0.00000572
159   1.85558176   1.85558701    0.00006104   0.00000525
160   1.85558701   1.85558224   -0.00005722   0.00000477
161   1.85558224   1.85558665    0.00005150   0.00000441
162   1.85558665   1.85558259   -0.00004673   0.00000405
163   1.85558259   1.85558629    0.00004387   0.00000370
164   1.85558629   1.85558283   -0.00004196   0.00000346
165   1.85558283   1.85558605    0.00003815   0.00000322
166   1.85558605   1.85558307   -0.00003624   0.00000298
167   1.85558307   1.85558581    0.00003147   0.00000274
168   1.85558581   1.85558331   -0.00003052   0.00000250
169   1.85558331   1.85558558    0.00002480   0.00000226
170   1.85558558   1.85558343   -0.00002670   0.00000215
171   1.85558343   1.85558546    0.00002384   0.00000203
172   1.85558546   1.85558355   -0.00002384   0.00000191
173   1.85558355   1.85558534    0.00002098   0.00000179
174   1.85558534   1.85558367   -0.00002098   0.00000167
175   1.85558367   1.85558522    0.00001717   0.00000155
176   1.85558522   1.85558379   -0.00001812   0.00000143
177   1.85558379   1.85558522    0.00001717   0.00000143
178   1.85558522   1.85558379   -0.00001812   0.00000143
179   1.85558379   1.85558522    0.00001717   0.00000143
180   1.85558522   1.85558379   -0.00001812   0.00000143
181   1.85558379   1.85558522    0.00001717   0.00000143
182   1.85558522   1.85558379   -0.00001812   0.00000143
183   1.85558379   1.85558522    0.00001717   0.00000143
184   1.85558522   1.85558379   -0.00001812   0.00000143
185   1.85558379   1.85558522    0.00001717   0.00000143
186   1.85558522   1.85558379   -0.00001812   0.00000143
187   1.85558379   1.85558522    0.00001717   0.00000143
188   1.85558522   1.85558379   -0.00001812   0.00000143
189   1.85558379   1.85558522    0.00001717   0.00000143
190   1.85558522   1.85558379   -0.00001812   0.00000143
191   1.85558379   1.85558522    0.00001717   0.00000143
192   1.85558522   1.85558379   -0.00001812   0.00000143
193   1.85558379   1.85558522    0.00001717   0.00000143
194   1.85558522   1.85558379   -0.00001812   0.00000143
195   1.85558379   1.85558522    0.00001717   0.00000143
196   1.85558522   1.85558379   -0.00001812   0.00000143
197   1.85558379   1.85558522    0.00001717   0.00000143
198   1.85558522   1.85558379   -0.00001812   0.00000143
199   1.85558379   1.85558522    0.00001717   0.00000143

p is initialized as 1.5

It.      Pn-1           Pn        f(Pn)     Absolute Error
 -----------------------------------------------------------
  1   1.50000000   2.26077676   13.86268616   0.76077676
  2   2.26077676   1.54882133   -5.79435158   0.71195543
  3   1.54882133   2.19415617   10.98353577   0.64533484
  4   2.19415617   1.59150624   -5.17596340   0.60264993
  5   1.59150624   2.13925028    8.80411148   0.54774404
  6   2.13925028   1.62867463   -4.59248877   0.51057565
  7   1.62867463   2.09377861    7.12487793   0.46510398
  8   2.09377861   1.66092587   -4.05064011   0.43285275
  9   1.66092587   2.05596757    5.81158447   0.39504170
 10   2.05596757   1.68882549   -3.55417061   0.36714208
 11   1.68882549   2.02442026    4.77145958   0.33559477
 12   2.02442026   1.71289754   -3.10443592   0.31152272
 13   1.71289754   1.99802434    3.93884754   0.28512681
 14   1.99802434   1.73362076   -2.70094490   0.26440358
 15   1.73362076   1.97588611    3.26631260   0.24226534
 16   1.97588611   1.75142658   -2.34190083   0.22445953
 17   1.75142658   1.95728183    2.71891212   0.20585525
 18   1.95728183   1.76670027   -2.02462435   0.19058156
 19   1.76670027   1.94162118    2.27047157   0.17492092
 20   1.94162118   1.77978337   -1.74591160   0.16183782
 21   1.77978337   1.92841947    1.90106678   0.14863610
 22   1.92841947   1.79097676   -1.50229359   0.13744271
 23   1.79097676   1.91727722    1.59534550   0.12630045
 24   1.91727722   1.80054355   -1.29025936   0.11673367
 25   1.80054355   1.90786386    1.34133244   0.10732031
 26   1.90786386   1.80871260   -1.10638523   0.09915125
 27   1.80871260   1.89990425    1.12956810   0.09119165
 28   1.89990425   1.81568301   -0.94742107   0.08422124
 29   1.81568301   1.89316905    0.95252514   0.07748604
 30   1.89316905   1.82162678   -0.81035233   0.07154226
 31   1.82162678   1.88746643    0.80415058   0.06583965
 32   1.88746643   1.82669234   -0.69242573   0.06077409
 33   1.82669234   1.88263547    0.67954254   0.05594313
 34   1.88263547   1.83100748   -0.59115791   0.05162799
 35   1.83100748   1.87854123    0.57471466   0.04753375
 36   1.87854123   1.83468199   -0.50433540   0.04385924
 37   1.83468199   1.87507010    0.48639870   0.04038811
 38   1.87507010   1.83780992   -0.42999649   0.03726017
 39   1.83780992   1.87212610    0.41189003   0.03431618
 40   1.87212610   1.84047163   -0.36642742   0.03165448
 41   1.84047163   1.86962867    0.34897041   0.02915704
 42   1.86962867   1.84273648   -0.31210804   0.02689219
 43   1.84273648   1.86750937    0.29578400   0.02477288
 44   1.86750937   1.84466290   -0.26574230   0.02284646
 45   1.84466290   1.86571074    0.25078964   0.02104783
 46   1.86571074   1.84630132   -0.22618961   0.01940942
 47   1.84630132   1.86418414    0.21270943   0.01788282
 48   1.86418414   1.84769440   -0.19247246   0.01648974
 49   1.84769440   1.86288822    0.18045712   0.01519382
 50   1.86288822   1.84887874   -0.16374397   0.01400948
 51   1.84887874   1.86178780    0.15312767   0.01290905
 52   1.86178780   1.84988570   -0.13927364   0.01190209
 53   1.84988570   1.86085355    0.12996387   0.01096785
 54   1.86085355   1.85074151   -0.11844444   0.01011205
 55   1.85074151   1.86006021    0.11032295   0.00931871
 56   1.86006021   1.85146904   -0.10071373   0.00859118
 57   1.85146904   1.85938632    0.09365845   0.00791728
 58   1.85938632   1.85208750   -0.08562279   0.00729883
 59   1.85208750   1.85881400    0.07952023   0.00672650
 60   1.85881400   1.85261297   -0.07278824   0.00620103
 61   1.85261297   1.85832787    0.06752300   0.00571489
 62   1.85832787   1.85305965   -0.06187153   0.00526822
 63   1.85305965   1.85791492    0.05733871   0.00485528
 64   1.85791492   1.85343909   -0.05258942   0.00447583
 65   1.85343909   1.85756433    0.04869938   0.00412524
 66   1.85756433   1.85376155   -0.04469776   0.00380278
 67   1.85376155   1.85726655    0.04136372   0.00350499
 68   1.85726655   1.85403550   -0.03798962   0.00323105
 69   1.85403550   1.85701358    0.03513432   0.00297809
 70   1.85701358   1.85426843   -0.03228283   0.00274515
 71   1.85426843   1.85679841    0.02983856   0.00252998
 72   1.85679841   1.85446632   -0.02743340   0.00233209
 73   1.85446632   1.85661590    0.02534962   0.00214958
 74   1.85661590   1.85463440   -0.02331352   0.00198150
 75   1.85463440   1.85646069    0.02153111   0.00182629
 76   1.85646069   1.85477734   -0.01980877   0.00168335
 77   1.85477734   1.85632885    0.01828861   0.00155151
 78   1.85632885   1.85489881   -0.01682949   0.00143003
 79   1.85489881   1.85621679    0.01553440   0.00131798
 80   1.85621679   1.85500193   -0.01429939   0.00121486
 81   1.85500193   1.85612166    0.01319504   0.00111973
 82   1.85612166   1.85508955   -0.01214981   0.00103211
 83   1.85508955   1.85604084    0.01120949   0.00095129
 84   1.85604084   1.85516405   -0.01032066   0.00087678
 85   1.85516405   1.85597217    0.00952244   0.00080812
 86   1.85597217   1.85522723   -0.00877190   0.00074494
 87   1.85522723   1.85591400    0.00809288   0.00068676
 88   1.85591400   1.85528088   -0.00745487   0.00063312
 89   1.85528088   1.85586441    0.00687408   0.00058353
 90   1.85586441   1.85532665   -0.00633144   0.00053775
 91   1.85532665   1.85582221    0.00583744   0.00049555
 92   1.85582221   1.85536551   -0.00537777   0.00045669
 93   1.85536551   1.85578644    0.00495911   0.00042093
 94   1.85578644   1.85539842   -0.00457001   0.00038803
 95   1.85539842   1.85575616    0.00421619   0.00035775
 96   1.85575616   1.85542631   -0.00388527   0.00032985
 97   1.85542631   1.85573041    0.00358295   0.00030410
 98   1.85573041   1.85545003   -0.00330162   0.00028038
 99   1.85545003   1.85570848    0.00304508   0.00025845
100   1.85570848   1.85547018   -0.00280762   0.00023830
101   1.85547018   1.85569000    0.00259018   0.00021982
102   1.85569000   1.85548723   -0.00238800   0.00020278
103   1.85548723   1.85567427    0.00220299   0.00018704
104   1.85567427   1.85550189   -0.00202942   0.00017238
105   1.85550189   1.85566068    0.00186920   0.00015879
106   1.85566068   1.85551429   -0.00172424   0.00014639
107   1.85551429   1.85564923    0.00158882   0.00013494
